Period	UR(%)	ER	N	Nt	Nfe	YDr	YDkr
----------------------------------------------------------------------
1	7.58	0.9242	87.58	87.85	94.76	54711363.40	9226009.93
2	5.50	0.9450	89.55	90.87	94.76	54643648.52	9619058.02
3	2.53	0.9747	92.36	94.23	94.76	56451443.11	10197492.51
4	0.59	0.9941	94.20	95.43	94.76	58740346.29	10075425.58
5	0.03	0.9997	94.73	95.09	94.76	60668355.90	10207233.99
6	0.58	0.9942	94.21	93.85	94.76	61683821.39	10357199.37
7	1.42	0.9858	93.42	92.89	94.76	62543019.63	10563913.72
8	2.26	0.9774	92.62	92.09	94.76	63238009.37	10868111.72
9	2.88	0.9712	92.03	91.64	94.76	63648303.93	11291952.93
10	3.08	0.9692	91.85	91.72	94.76	64072218.89	11746436.11
11	2.86	0.9714	92.05	92.19	94.76	64769917.44	12204485.52
12	2.42	0.9758	92.47	92.74	94.76	65781478.91	12598848.16
13	2.01	0.9799	92.85	93.11	94.76	66999590.53	12936067.86
14	1.81	0.9819	93.05	93.17	94.76	68271762.33	13243417.32
15	1.83	0.9817	93.03	93.01	94.76	69478432.66	13568832.82
16	2.00	0.9800	92.87	92.76	94.76	70567678.71	13938089.99
17	2.19	0.9781	92.68	92.56	94.76	71561039.64	14358623.63
18	2.32	0.9768	92.56	92.48	94.76	72524770.54	14817303.50
19	2.35	0.9765	92.53	92.51	94.76	73531387.74	15295213.92
20	2.30	0.9770	92.59	92.62	94.76	74626310.76	15774643.20
21	2.20	0.9780	92.68	92.74	94.76	75815853.85	16247460.18
22	2.12	0.9788	92.75	92.81	94.76	77074753.59	16715743.17
23	2.08	0.9792	92.79	92.81	94.76	78365524.07	17189352.20
24	2.09	0.9791	92.78	92.77	94.76	79657798.41	17679680.15
25	2.13	0.9787	92.74	92.71	94.76	80939808.11	18194668.25
26	2.18	0.9782	92.70	92.67	94.76	82218730.04	18736218.35
27	2.21	0.9779	92.67	92.65	94.76	83512666.31	19301132.12
28	2.23	0.9777	92.65	92.64	94.76	84832743.19	19882307.87
29	2.24	0.9776	92.64	92.63	94.76	86180209.81	20477023.21
30	2.25	0.9775	92.63	92.63	94.76	87532916.41	21091477.33
